,City,Country,Temp,Lat,Lon,Humidity,Clouds,Wind Speed
492,Shahr-e Kord,IR,60.8,32.33,50.85,19,0,4.7
493,Imbituba,BR,69.8,-28.24,-48.67,94,75,5.17
494,Grand-Lahou,CI,72.09,5.24,-5,95,44,3.04
495,Gigmoto,PH,82.62,13.78,124.39,100,76,12.21
496,Hilo,US,66.65,19.71,-155.08,74,40,11.99
497,Birao,CF,76.23,10.3,22.78,82,12,4.94
498,Saint-Philippe,CA,49.23,45.36,-73.48,100,90,4.7
499,Goedereede,NL,54.93,51.82,3.98,58,0,23.04
500,Kyshtovka,RU,50.67,56.56,76.62,73,20,8.41
503,Tiarei,PF,77,-17.53,-149.33,65,40,4.7
504,Batasan,PH,87.22,14.89,120.71,58,75,9.17
505,Kysyl-Syr,RU,38.52,63.9,122.77,100,92,3.6
506,Korem,ET,68.04,12.51,39.52,62,0,3.15
507,Vytegra,RU,45.27,61.01,36.45,100,88,3.15
508,Lompoc,US,65.89,34.64,-120.46,75,75,8.05
509,Ratnagiri,IN,80.82,16.98,73.3,100,64,2.59
510,Selenginsk,RU,62.6,52.01,106.87,33,8,2.24
511,Barrow,AR,36.45,-38.31,-60.23,87,0,1.7
512,Fukue,JP,73.4,35.03,136.69,53,75,6.93
513,Bahia Blanca,AR,43.74,-38.72,-62.27,86,0,2.48
515,Pangnirtung,CA,22.32,66.15,-65.72,87,48,7.07
516,Broken Hill,AU,69.21,-31.97,141.45,60,88,11.65
517,Lagoa,PT,69.8,37.14,-8.45,94,20,5.82
518,Bethel,US,48.02,60.79,-161.76,89,90,10.29
519,Nishihara,JP,73.11,35.74,139.53,60,75,4.7
520,Broome,GB,45.19,52.47,1.45,93,0,2.24
521,Provideniya,RU,50,64.42,-173.23,87,90,15.66
522,Zhelyabovka,UA,63.36,45.4,34.76,100,64,13
523,Mao,DO,73.4,19.55,-71.08,100,75,4.72
524,College,US,39.16,64.86,-147.8,15,1,4.94
525,Shestakovo,RU,36.81,56.49,103.96,91,76,6.17
526,Deputatskiy,RU,25.65,69.3,139.9,87,88,10.09
527,Kapaa,US,79.57,22.08,-159.32,76,40,9.17
529,Penzance,GB,53.6,50.12,-5.53,100,40,8.05
530,Rudnichnyy,RU,47.07,59.7,60.29,78,92,6.62
531,Geraldton,CA,44.6,49.72,-86.95,93,90,8.05
532,Itambacuri,BR,67.68,-18.04,-41.68,84,0,9.19
533,Caravelas,BR,76.86,-17.73,-39.27,100,76,14.45
534,Pakxan,LA,86.76,18.39,103.66,49,12,3.94
537,Akita,JP,68.79,39.72,140.1,49,40,11.41
538,Ust-Kuyga,RU,28.35,70,135.55,84,92,9.98
539,Komsomolskiy,RU,37.53,67.55,63.78,100,68,14.45
540,Vardo,US,69.48,39.62,-77.74,94,1,4.7
541,Jieshi,CN,81.63,22.82,115.83,87,36,7.85
542,Homer,US,49.93,59.64,-151.54,79,90,15.01
543,Vaini,IN,83.25,15.34,74.49,81,44,2.15
544,Axim,GH,77.85,4.87,-2.24,100,80,9.42
545,Bouar,CF,65.07,5.94,15.59,100,92,6.51
546,Comodoro Rivadavia,AR,46.4,-45.87,-67.48,45,0,16.11
547,Vanavara,RU,40.77,60.35,102.28,49,56,9.53
548,Rudnogorsk,RU,39.51,57.27,103.75,83,64,7.63
549,Ust-Nera,RU,24.03,64.57,143.24,91,68,2.59
551,Kenai,US,52.5,60.55,-151.26,58,90,8.05
553,Dingzhou,CN,80.6,38.51,115,24,0,4.47
554,Makakilo City,US,76.32,21.35,-158.09,23,20,6.93
555,Concordia,AR,49.86,-31.4,-58.02,84,76,9.53
556,Amazar,RU,59.22,53.86,120.88,40,0,3.38
557,Waingapu,ID,89.01,-9.65,120.26,42,8,12.21
558,Shelburne,CA,51.19,44.08,-80.2,93,90,4.7
560,Prescott,US,62.96,34.54,-112.47,90,40,3.36
561,Kushiro,JP,64.4,43.11,144.15,63,20,14.99
562,Djibo,BF,71.28,14.1,-1.63,86,0,2.93
563,Baker City,US,56.28,44.77,-117.83,55,1,10.29
564,Arraial do Cabo,BR,72.81,-22.97,-42.02,93,24,11.77
565,Falmouth,GB,53.6,50.16,-5.07,100,40,8.05
567,Whyalla,AU,62.6,-33.04,137.58,77,90,21.92
568,Coahuayana,MX,66.96,18.62,-100.35,80,36,1.92
569,Champerico,MX,71.1,16.38,-93.6,84,64,2.93
570,Longyearbyen,NO,28.4,78.22,15.63,74,40,2.24
571,Amurzet,CN,61.56,47.69,131.09,58,0,10.54
572,Rocha,UY,36.81,-34.48,-54.34,83,0,3.27
573,Japura,ID,85.77,-0.42,102.29,79,12,2.71
574,Wattegama,LK,82.08,7.35,80.68,90,20,3.15
575,Konyshevka,RU,50,51.85,35.29,100,90,13.42
576,Tres Picos,MX,71.1,16.23,-93.58,84,64,2.93
578,George,NG,77,6.63,3.35,94,20,2.24
579,Abay,KZ,51.8,49.63,72.87,43,0,8.95
580,Humaita,AR,56.05,-24.93,-65.37,71,0,8.05
581,Barra do Garcas,BR,69.12,-15.89,-52.26,87,8,2.71
582,Wonthaggi,AU,60.39,-38.6,145.59,75,88,5.95
583,Garango,BF,72.54,11.8,-0.55,89,0,5.95
584,Anadyr,RU,50,64.73,177.51,93,90,26.84
585,Hammerfest,NO,36.64,70.66,23.68,100,75,24.16
586,Hobart,AU,53.6,-42.88,147.33,58,40,25.28
587,Yeppoon,AU,78.8,-23.13,150.74,36,0,8.05
588,Ambilobe,MG,84.24,-13.19,49.05,39,0,5.17
589,Sao Gabriel da Cachoeira,BR,76.23,-0.13,-67.09,92,24,3.15
590,Hervey Bay,AU,71.64,-25.3,152.85,84,0,10.87
591,Sioux Lookout,CA,46.4,50.1,-91.92,87,75,10.29
592,Show Low,US,63.73,34.25,-110.03,93,75,14.99
593,Slave Lake,CA,30.2,55.28,-114.77,54,20,17.22
594,Lahuachaca,BO,27.81,-17.38,-67.67,86,0,2.93
597,Kyrksaeterora,NO,43.66,63.29,9.09,87,75,23.04
598,Yumen,CN,66.42,40.29,97.04,24,0,13.11
599,Yulara,AU,84.2,-25.24,130.99,28,40,14.99
600,Tilichiki,RU,41.31,60.47,166.1,90,56,12.21
601,Jardim,BR,69.21,-21.48,-56.15,96,44,8.41
602,Koluszki,PL,46.4,51.74,19.82,93,0,16.11
603,Whitehorse,CA,32,60.72,-135.06,70,40,3.6
605,Iacu,BR,67.41,-12.77,-40.21,95,0,5.95
606,Alofi,NU,75.2,-19.06,-169.92,73,0,13.87
607,Oranjestad,AW,82.4,12.52,-70.03,83,20,14.99
608,Harper,US,74.52,30.3,-99.24,85,1,5.82
609,Eureka,US,57.33,40.8,-124.16,100,90,3.15
610,Uusikaupunki,FI,39.2,60.8,21.41,93,80,8.05
612,Lavrentiya,RU,46.62,65.58,-170.99,90,92,29.77
613,Ahipara,NZ,58.86,-35.17,173.16,89,64,3.38
614,Zonguldak,TR,60.8,41.25,31.83,100,75,3.36
615,Cookeville,US,65.89,36.16,-85.5,100,1,2.59
616,Genhe,CN,59.13,50.78,121.52,51,0,8.63
617,Havoysund,NO,36.63,71,24.66,100,75,24.16
618,Garissa,KE,78.57,-0.46,39.64,66,32,9.98
619,Yauya,PE,44.55,-8.99,-77.29,98,92,1.81
620,Niquero,CU,80.37,20.04,-77.58,100,68,5.39
621,Tigzirt,DZ,57.96,36.57,4.2,84,100,4.83
622,Bayir,TR,60.8,37.27,28.22,87,24,3.36
623,Gastello,RU,48.42,49.1,142.94,88,24,9.19
625,Seminole,US,71.44,32.72,-102.64,76,1,8.05
626,Katangli,RU,51.84,51.71,143.23,80,88,16.46
627,Muros,ES,46.4,42.77,-9.06,100,0,5.61
628,Tyukhtet,RU,44.82,56.54,89.31,68,76,9.86
630,Jatai,IN,92.97,28.97,76.18,49,24,4.38
631,Karratha,AU,96.75,-20.74,116.85,18,20,8.19
632,Hwange,ZW,71.91,-18.35,26.5,31,0,4.94
633,Hermanus,ZA,52.92,-34.42,19.24,74,0,6.73
634,Winslow,GB,53.2,51.94,-0.88,87,36,6.93
635,Chinchani,IN,81.9,16.42,74.53,87,24,4.5
636,Bhum,IN,83.34,18.47,75.67,79,32,5.95
637,Bluff,AU,84.51,-23.58,149.07,25,0,8.41
638,Nador,MA,61.3,35.17,-2.93,88,0,2.24
639,Henties Bay,NA,60.39,-22.12,14.28,89,92,5.17
640,Grants Pass,US,62.06,42.44,-123.33,96,90,8.05
642,Chokurdakh,RU,34.74,70.62,147.9,92,24,8.41
643,Quatre Cocos,MU,75.2,-20.21,57.76,60,40,9.17
644,Sol-Iletsk,RU,54.54,51.16,55,41,76,9.08
645,Egvekinot,RU,44.1,66.32,-179.17,96,88,8.19
646,Lasa,CY,74.7,34.92,32.53,61,20,6.93
647,Sao Joao da Barra,BR,76.32,-21.64,-41.05,95,76,27.09
648,Pitimbu,BR,73.4,-7.47,-34.81,94,75,4.7
649,Antalaha,MG,74.79,-14.9,50.28,90,24,8.97
650,Zhigansk,RU,38.34,66.77,123.37,92,76,4.94
651,Aasiaat,GL,32.85,68.71,-52.87,100,0,9.64
652,Kutum,SD,84.78,14.2,24.66,28,0,13.44
653,Santa Teresa,VE,75.2,10.26,-66.69,83,20,1.59
654,Port Blair,IN,85.59,11.67,92.75,100,8,5.06
657,Te Anau,NZ,44.01,-45.41,167.72,68,12,11.21
658,Yelizovo,RU,51.8,53.19,158.38,53,40,13.42
659,Ibipeba,BR,68.22,-11.64,-42.01,72,20,8.63
661,Victoria,BN,84.2,5.28,115.24,83,90,3.36
662,Ilulissat,GL,26.6,69.22,-51.1,42,0,10.29
663,Kununurra,AU,96.8,-15.77,128.74,25,40,8.05
664,Orodara,BF,73.4,10.98,-4.92,88,0,2.24
665,Rosarito,CO,71.6,4.91,-75.23,73,40,5.82
667,Fortuna,ES,59.9,38.18,-1.13,72,0,2.24
668,Klaksvik,FO,37.4,62.23,-6.59,93,20,5.06
669,Solnechnyy,RU,56.07,50.72,136.64,51,0,5.61
670,Luderitz,NA,57.87,-26.65,15.16,78,0,12.88
671,Traverse City,US,52.48,44.76,-85.62,91,90,10.87
672,Guozhen,CN,77.49,29.3,113.14,54,0,6.85
673,Kayerkan,RU,34.47,69.35,87.76,100,8,9.64
674,Busselton,AU,67.59,-33.64,115.35,82,0,19.37
675,Pandan,PH,81.18,11.72,122.09,100,32,5.61
676,Schleswig,DE,49.12,54.52,9.57,76,0,16.11
677,Guatire,VE,75.2,10.47,-66.54,83,20,1.59
678,Moyale,ET,66.42,3.52,39.05,82,100,9.42
679,Baykit,RU,35.01,61.68,96.39,63,88,12.44
680,Mudbidri,IN,87.8,13.08,74.98,70,40,3.36
681,Sibu,MY,80.6,2.29,111.83,88,75,8.05
682,Belyy Yar,RU,46.4,53.6,91.39,65,40,6.71
683,Salalah,OM,82.4,17.01,54.1,45,0,3.36
684,Cerknica,SI,45.48,45.8,14.36,100,20,1.12
685,Hambantota,LK,83.34,6.12,81.12,97,0,2.26
686,Coihaique,CL,40.75,-45.58,-72.07,75,20,3.36
687,Bonaventure,CA,46.4,48.04,-65.49,100,90,6.93
688,Cairns,AU,71.6,-16.92,145.77,83,75,11.41
689,Sur,OM,89.01,22.57,59.53,78,0,6.4
690,Buin,CL,46.4,-33.73,-70.74,65,0,4.7
691,Upata,VE,73.35,8.02,-62.41,82,0,5.73
692,Pochutla,MX,82.62,15.74,-96.47,100,32,7.07
693,Pimampiro,EC,49.77,0.39,-77.94,100,88,1.81
694,Baruun-Urt,MN,67.77,46.68,113.28,28,0,17.36
695,Laguna,MX,75.96,27.52,-110.01,76,0,3.15
696,Sri Aman,MY,87.8,1.24,111.46,74,75,5.82
697,Hatillo,PR,79.11,18.49,-66.83,100,88,4.16
698,San Policarpo,PH,81.99,12.18,125.51,97,88,8.41
699,El Sauce,SV,70.11,13.67,-87.8,97,68,2.26
